"",COMPANY / EST. NAME,ADDRESS,"POSTALCODE",,,
"",Burger King,750,CHAI CHEE ROAD,01-02,VIVA BUSINESS PARK,469000
"",Burger King,63,JURONG WEST CENTRAL 3,B 1-54/55,Jurong point shopping Centre,648331
"",Burger King,80,AIRPORT BOULEVARD,03-02,"CHANGI AIRPORT TERMINAL1,Departure/Transit Lounge WestMezzanine",819642
"",Burger King,1,HARBOURFRONT WALK,0  2-80/81,VIVO CITY,0  9  8585
"",Burger King,1,JELEBU ROAD,01-28,BUKIT PANJANG PLAZA,6  7   7  743
"",Burger King,30,WOODLANDS AVENUE 2,0  1-19-25,WOODLANDS MRT STATION,7  3  8   3  43
"",Burger King,1,SENGKANG SQUARE,B  1 -14/14A,COMPASS ONE,5 45078
"",Burger King,1,EXPO DRIVE,01-13,SINGAPORE EXPO,4  8  6  1 50
"",Burger King,2,Changi Business Park Avenue 1,01-05,UE Bizhub East,486015
"",Burger King,5,STADIUM WALK,01-57/58,LEISURE PARK,3  9  7  693
"",Burger King,2,JURONG EAST STREET 21,01-51,IMM BUILDING,6  0  9 601
"",Burger King,238,THOMSON ROAD,0 1-09/10,NOVENA SQUARE,3  0  7  6  83
"",Burger King,11,Bedok North Street 1,01-33,-,469662
"",Burger King,3,Northpoint Drive,01-03,-,768020
"",Burger King,4,Woodlands Street 12,02-01,MARSILING MALL,738623
"",Burger King,23,Serangoon Central,B1-30/31,NEX,556083
"",Burger King,120,PASIR RIS CENTRAL,01-11,"PASIR RIS SPORTS & RECREATIONCENTRE",519640
"",Burger King,1,Joo Koon Circle,01-51,Fairprice Hub,629117
"",Burger King,1,Lower Kent Ridge Road,01-11,One @ Kentridge,119082
"",Burger King,53,ANG MO KIO AVENUE 3,01-40,AMK HUB,5  6  9  933
"",Burger King,16,COLLYER QUAY,01-01/02,HITACHI TOWER,0  4  9  318
"",Burger King,258,PASIR RIS STREET 21,01-23,LOYANG POINT,5  1  0  258
"",Burger King,241,VICTORIA STREET,0 1-241/243,Bugis Village,188030
"",Burger King,809,French Road,01-31,Kitchener Complex,2  0 0809
"",BURGERUP,83,Punggol Central,B2-06,Waterway Point (West Wing),828761
"",BURGERUP EXPRESS,1,NORTHPOINT DRIVE,B2-113,NORTHPOINT CITY,768019
"",Butter Studio,4,TAMPINES CENTRAL 5,B1-K8,TAMPINES MALL,5  2  9  510
"",Butter Studio,147,JALAN BESAR,-,-,208865
"",Butter Studio,391A,ORCHARD ROAD,-,NGEE ANN CITY TOWER A,2  3  8  8 73
"",BUTTERNUT,3,Yung Sheng Road,02-108,Taman Jurong Market and Food Centre,618499
"",C.M.K. 2001 Restaurant,92,SYED ALWI ROAD,-,-,207668
"",Cafe @ CWSS,698,WEST COAST ROAD,-,"COMMONWEALTH SECONDARYSCHOOL",608784
"",CAFE @ MI,60,BUKIT BATOK WEST AVENUE 8,-,MILLENNIA INSTITUTE,658965
"","Cafe @ MOE (Mngd By FourSeasons Group)",,51 Grange Road,01-01,"Blk 5, MOE HQ",249546
"",CAFÈ @ PSS,51,Edgefield Plains,01-01,Punggol Secondary School,828870
"",CAFÈ @ PSS,51,Edgefield Plains,01-01,Punggol Secondary School,828870
"",Cafe @ St Andrew's House,15,FRANCIS THOMAS DRIVE,-,"ST. ANDREW'S SECONDARYSCHOOL",359342
"",CAFE @ TJC,22,BEDOK SOUTH ROAD,-,TEMASEK JUNIOR COLLEGE,4  6  9  2  78
"","CAFE @ TMUC (Mngd By ThomsonCatering)",20,TEMBUSU CRESCENT,-,-,627610
"",CAFE @ YCH,,No 2 Yishun Central 2,-,Yishun Community Hospital,768024
"","CAFE 85 @ HOLIDAY INN ATRIUM(MNGD BY THE WOK PEOPLE)",317,OUTRAM ROAD,B2,HOLIDAY INN ATRIUM SINGAPORE,1  6  9  0 75
"",Cafe Fantasy (S9) @ Horizon Pri Sch,61,EDGEDALE PLAINS,-,-,828819
"",Cafe Galilee P/L,53,MARGARET DRIVE,-,QUEENSTOWN BRANCH LIBRARY,1  4  9   2  9 7
"",Cafe Galilee P/L,5,BISHAN PLACE,01-02,BISHAN PUBLIC LIBRARY,579841
"",Cafe Galilee P/L,21,JURONG EAST CENTRAL 1,-,JURONG EAST LIBRARY,609732
"",Cafe Galilee P/L,278,MARINE PARADE ROAD,-,"MARINE PARADE COMMUNITYCENTRE",449282
"",Cafe Galilee P/L,900,SOUTH WOODLANDS DRIVE,01-03,WOODLANDS CIVIC CENTRE,7  3  0  9  00
"",Cafe O,2,JURONG EAST STREET 21,01-101,IMM BUILDING,6  0  9 601
"",Cafe O,118,Holland Avenue,01-01,Raffles Holland Village,278997
"",Cafe Seven,10,KALLANG ROAD,01-00,ICA BUILDING,2  0  8 718
"",Cafe Seven,20,JALAN AFIFI,01-00,CISCO CENTRE,4   0  9  179
"","Cafeteria @ GE Aviation ServiceOperation Pte Ltd Singapore (Mngdby Stamfles International Pte Ltd)",23,LOYANG WAY,-,GE Aviation,508726
"",Cafeteria @ HPB,3,SECOND HOSPITAL AVENUE,01-04,HPB,168937
"",Cahaya Restaurant,14,SCOTTS ROAD,05-91/92,FAR EAST PLAZA,2  2  8  213
"",Cajun On Wheels,68,ORCHARD ROAD,03-92,PLAZA SINGAPURA,2  3  8  8 39
"","Cajun On Wheels (Terminal 12) @Pasarbella Suntec City",3,TEMASEK BOULEVARD,01-K41,SUNTEC CITY MALL,0  3  8  983
"",Canadian 2 For 1 Pizza,10,KIM KEAT ROAD,-,-,328844
"",Canadian 2 For 1 Pizza,10,Sixth Avenue,-,-,276474
"",Canadian 2 For 1 Pizza,67,BRIGHTON CRESCENT,-,SERANGOON GARDEN ESTATE,5  5  9  2  1 2
"",Canadian 2 For 1 Pizza,534,CHOA CHU KANG STREET 51,01-49A,-,680534
"",Canadian 2 For 1 Pizza,,18 Yishun Ave 9,02-59,Junction Nine,768897
"",Canadian 2 For 1 Pizza,93,Pasir Ris Drive 3,01-04,Pasir Ris Elias Community Centre,519498
"",Canadian 2 For 1 Pizza,164,Bukit Batok Street 11,01-134,-,650164
"",Canadian 2 For 1 Pizza,83,KAMPONG BAHRU ROAD,-,-,169379
"",Canadian 2 For 1 Pizza,501,WEST COAST DRIVE,01-270,-,120501
"",Canadian 2 For 1 Pizza,744,BEDOK RESERVOIR ROAD,0 1-3043,-,470744
"",Canadian 2 For 1 Pizza,,2 Ang Mo Kio Drive,01-14/29,ITE Central College,567720
"",Canadian 2 For 1 Pizza,23,SIN MING ROAD,01-15,-,570023
"",Canadian 2 For 1 Pizza,369,SEMBAWANG ROAD,01-02,-,758382
"",Canadian 2 For 1 Pizza,806,WOODLANDS STREET 81,01-03,-,730806
"",Canadian 2 For 1 Pizza,430,JOO CHIAT ROAD,-,-,427646
"",Canadian 2 For 1 Pizza,557,Jurong West Street 42,01-397,-,640557
"",Carnival Bakery,,18 UPPER BOON KENG ROAD,01-1159,-,380018
"","Carrot Cake (S15) @ Cantine JurongPoint",1,JURONG WEST CENTRAL 2,B   1 -42/43/44,JURONG POINT,6   4  8  886
