"",COMPANY / EST. NAME,ADDRESS,"POSTAL CODE",,,
"",McDonald's,120,PASIR RIS CENTRAL,01-12,"PASIR RIS SPORTS ANDRECREATION CENTRE",519640
"",McDonald's,93,PASIR RIS DRIVE 3,01-02,"PASIR RIS ELIAS COMMUNITYCENTRE",519498
"",McDonald's,383,BUKIT TIMAH ROAD,01-09C,"& #01  K1, ALOCASSIA APARTMENT",2  5  9  7  2 7
"",McDonald's,101,THOMSON ROAD,B 1-11/12,UNITED SQUARE,3  0  7  5 91
"",McDonald's,252,NORTH BRIDGE ROAD,01-49/50/51,RAFFLES CITY SHOPPING CENTRE,1  7  9  1  03
"",McDonald's,6,RAFFLES BOULEVARD,0  2 -156/157,/166 MARINA SQUARE,039594
"",McDonald's,10,"JALAN SERENE, SERENECENTRE",01-01,-,258748
"",McDonald's,,"PART OF 451 CLEMENTIAVENUE 3",01-309,-,120451
"",McDonald's,900,SOUTH WOODLANDS DRIVE,01-01,"AND #01  08  WOODLANDS CIVICCENTRE",730900
"",McDonald's,30,SEMBAWANG DRIVE,0 1-16/17,SUN PLAZA,7  57713
"",McDonald's,3155,COMMONWEALTH AVE WEST,01,06/07/08/09 THE CLEMENTI MALL,129588
"",McDonald's,10,"KENT RIDGE CRESCENT, KENTRIDGE CAMPUS",-,"NUS, FACULTY OF ENGINEERINGANNEXE",119260
"",McDonald's,583,ORCHARD ROAD,"B1-25,33-35",FORUM THE SHOPPING MALL,238884
"",McDonald's,1,WOODLANDS SQUARE,0  1  - 35/36/37,CAUSEWAY POINT,7  3  8  0 99
"",McDonald's,09,Sentul Crescent,03-05,SAFRA PUNGGOL,828654
"",McDonald's,133,NEW BRIDGE ROAD,01-03,CHINATOWN POINT 2,0  5  9 413
"",McDonald's,1,SOUTH CANAL ROAD,-,-,048508
"",McDonald's,43,"SILOSO BEACH WALK(SENTOSA)",01-04,IFLY,099010
"",McDonald's,1,SENGKANG SQUARE,B1-13,COMPASS ONE,545078
"",McDonald's,681,Punggol Drive,02-37/38,-,820681
"",McDonald's,600,HOUGANG AVENUE 3,01-01,-,538846
"",McDonald's,624,CHOA CHU KANG STREET 62,01-262,& #01  264,680624
"",McDonald's,445,FAJAR ROAD,01-520,-,670445
"",McDonald's,533,CHOA CHU KANG STREET 51,01-01,LIMBANG SHOPPING CENTRE,680533
"",McDonald's,50,Jurong Gateway Road,01-63,"& #02  55, JEM",608549
"",McDonald's,256,JURONG EAST STREET 24,01-381,-,600256
"",McDonald's,8,JURONG WEST STREET 52,01-05,JURONG SPRING COMMUNITY CLUB,6  4  9 296
"",McDonald's,762,JURONG WEST STREET 75,02-250,-,640762
"",McDonald's,71,WEST COAST HIGHWAY,-,-,126844
"",McDonald's,304,ORCHARD ROAD KIOSK 1,-,LUCKY PLAZA,238863
"",McDonald's,3501,JALAN BUKIT MERAH,01-01,REGAL THEATRE,159460
"",McDonald's,51,ANG MO KIO AVENUE 3,01-04,51@AMK,569922
"",McDonald's,448,ANG MO KIO AVENUE 10,01-1693,-,560448
"",McDonald's,1378,Ang Mo Kio Ave 1,-,-,569981
"",McDonald's,369,SEMBAWANG ROAD,01-01,-,758382
"",McDonald's,163,ANG MO KIO AVENUE 4,01-438,-,560163
"",McDonald's,258,PASIR RIS STREET 21,01-25,LOYANG POINT,5  1  0  258
"",McDonald's,60,PAYA LEBAR ROAD,01-68,"/69/74/75/76/K3  PAYA LEBARSQUARE",409051
"",McDonald's,148,POTONG PASIR AVENUE 1,01-43,-,350148
"",McDonald's,632,BEDOK RESERVOIR ROAD,01-850,-,470632
"",McDonald's,10,ANG MO KIO STREET 12,-,-,567740
"",McDonald's,5,"CHANGI BUSINESS PARKCENTRAL 1",01-10/11,CHANGI CITY POINT,486038
"",McDonald's,109,TOA PAYOH LORONG 1,01-318,-,310109
"",McDonald's,60,"AIRPORT BOULEVARD, CHANGIAIRPORT TERMINAL 2",36-70,"DEPARTURE/TRANSIT LOUNGECENTRAL",819643
"",McDonald's,17,Petir Road,B1-25/26/27,Hillion Mall,678278
"",McDonald's,22,BOON KENG ROAD,01-01,-,320022
"",McDonald's,200,VICTORIA STREET,01-66,BUGIS JUNCTION,1  8  8  021
"",McDonald's,678A,WOODLANDS AVENUE 6,01-05,-,731678
"",McDonald's,500,"DOVER ROAD, TEACHINGBLOCK 16",01-13,SINGAPORE POLYTECHNIC,139651
"",McDonald's,28,BOON LAY WAY,0  1-173/174,-,609971
"",McDonald's,35,TECK WHYE AVENUE,01-01,CHUA CHU KANG COMMUNITY CLUB,6  8  8  8  9 2
"",McDonald's,83,Punggol Central,B2-07/K4,WATERWAY POINT (WEST WING),828761
"",McDonald's,1,MARITIME SQUARE,0  1 -86 TO 89,HARBOURFRONT CENTRE,0  9  9  2  5 3
"",McDonald's,211,NEW BRIDGE ROAD,01-10 TO 14,LUCKY CHINATOWN,059432
"",McDonald's - McCafe,513,TAMPINES CENTRAL 1,01-150,-,520513
"",McDonald's - McCafe,10,JALAN SERENE,01-01,FARRER ROAD,258748
"",McDonald's - McCafe,3,SIMEI STREET 6,01-34,EASTPOINT MALL,5  2  8  833
"",McDonald's - McCafe,65,AIRPORT BOULEVARD,01-21,CHANGI AIRPORT TERMINAL 3,819663
"",McDonald's - McCafe,624,CHOA CHU KANG STREET 62,01-262,& #01  264,680624
"",McDonald's - McCafe,3,TEMASEK BOULEVARD,0  2  -732/733,SUNTEC CITY MALL,0  3  8  983
"",McDonald's - McCafe,1378,ANG MO KIO AVE 1,-,-,569981
"",McDonald's - McCafe,208,HOUGANG STREET 21,01-217,-,530208
"",McDonald's - McCafe,293,TOA PAYOH LORONG 6,01-02,TOA PAYOH SAFRA CLUB HOUSE,319387
"",McDonald's - McCafe,1,MARITIME SQUARE,0  1 -86 TO 89,HARBOURFRONT CENTRE,0  9  9  2  5 3
"",McDonald's - McCafe,83,PUNGGOL CENTRAL,B2-07/K4,WATERWAY POINT (WEST WING),828761
"",McDonald's - McCafe,291,BOON LAY WAY,-,JURONG CENTRAL PARK,649849
"",McDonald's - McCafe,1,JURONG WEST CENTRAL 2,01-31,JURONG POINT SHOPPING CENTRE,6  4  8  8   8  6
"",McDonald's - McCafe,632,BUKIT BATOK CENTRAL,01-138,/ #01 140 / #01 142,650632
"",McDonald's - McCafe,3155,"COMMONWEALTH AVENUEWEST",01-06,/07/08/09 THE CLEMENTI MALL,129588
"",McDonald's - McCafe,1,JELEBU ROAD,02-01,BUKIT PANJANG PLAZA,6  7   7  743
"",McDonald's - McCafe,50,JURONG GATEWAY ROAD,01-63,"& #02  55, JEM",608549
"",McDonald's - McCafe,101,THOMSON ROAD,B 1-11/12,UNITED SQUARE,3  0  7  5 91
"",McDonald's - McCafe,930,YISHUN AVENUE 2,01-12/13,NORTHPOINT,769098
"",McDonald's - McCafe,90,HOUGANG AVENUE 10,0 1-16/17,HOUGANG MALL,5  3  8  7 66
"",McDonald's - McCafe,490,LORONG 6 TOA PAYOH,01-11,-,310490
"",McDonald's - McCafe,3,ANSON ROAD,01-03,SPRINGLEAF TOWER,0  7  9  9  09
"",McDonald's - McCafe,1,WOODLANDS SQUARE,01-35/36/37,CAUSEWAY POINT,738099
"",McDonald's - McCafe,9,BUONA VISTA DRIVE TOWER 1,01-08,THE METROPOLIS,138588
"",McDonald's - McCafe,350,ORCHARD ROAD,0 5-12/13,", #05  21 SHAW HOUSE",2  3  8  8  6  8
"",McDonald's - McCafe,10,ANG MO KIO STREET 12,-,-,567740
"",McDonald's - McCafe,33,SENGKANG WEST AVENUE,01-04/05/06,SELETAR MALL,797653
"",McDonald's - McCafe,6,RAFFLES BOULEVARD,-,02  156/157/166 MARINA SQUARE,0  3  9  5  9  4
"",McDonald's - McCafe,311,NEW UPPER CHANGI ROAD,01-10/11,BEDOK MALL,467360
"",McDonald's - McCafe,1,PASIR RIS CLOSE,01-338,Downtown East,519599
"",McDonald's - McCafe,200,STADIUM BOULEVARD,-,-,397801
"",McDonald's - McCafe,1000,"EAST COAST PARKWAY, EASTCOAST PARK",01-05,MARINE COVE,4  4  9  876
"",McDonald's - McCafe,460,ALEXANDRA ROAD,01-25,"PSA BUILDING (ALEXANDRA RETAILCENTRE)",119963
"",McDonald's - McCafe,21,CHOA CHU KANG AVENUE 4,01-20,LOT 1 SHOPPER'S MALL,689812
"",McDonald's - McCafe,71,WEST COAST HIGHWAY,-,-,126844
"",McDonald's - McCafe,583,ORCHARD ROAD,"B1-25,33-35",FORUM THE SHOPPING MALL,238884
"",McDonald's - McCafe,60,YISHUN AVENUE 4,01-11,SAFRA YISHUN COUNTRY CLUB,769027
"",McDonald's - McCafe,57,ANCHORVALE ROAD,02-03,"SENG KANG SPORTS &RECREATION CENTRE",544964
"",McDonald's - McCafe,638,JURONG WEST STREET 61,01-01,PIONEER MALL,6  4  0  638
"",McDonald's - McCafe,18,MARINA GARDENS DRIVE,02-04,"(GARDENS BY THE BAY VISITORSCENTRE)",018953
"",McDonald's - McCafe,1,KIM SENG PROMENADE,0  1  -24/25/26,GREAT WORLD CITY,237994
"",McDonald's - McCafe,26,SENTOSA GATEWAY,"B1-211 TO214",-,098138
"",McDonald's - McCafe,60,"AIRPORT BOULEVARD, CHANGIAIRPORT TERMINAL 2",M016-017,"MEZZANINE LEVEL, ARRIVALMEETING HALL SOUTH",819643
"",McDonald's - McCafe,632,BEDOK RESERVOIR ROAD,01-850,-,470632
"",McDonald's - McCafe,1,MARINE PARADE CENTRAL,01-01,PARKWAY CENTRE,4  49408
"","Meat Up Butchery Station @ TheMeat Up",138,TAMPINES STREET 11,01-142,-,521138
"","MEDITERRANEAN COUNTER @CAROUSEL",25,SCOTTS ROAD,-,SCOTTSWALK,2  2  8  2 20
"",Megapicks @ Courts Megastore,50,Tampines North Drive 2,-,-,528766
"","MEL'S DRIVE IN @ UNIVERSALSTUDIOS SINGAPORE (RWS)",30,SENTOSA GATEWAY,01-303,-,098269
"",Metta Cafe,32,SIMEI STREET 1,-,METTA BUILDING,5  2  9  950
"",Minang House,304,ORCHARD ROAD,02-06,LUCKY PLAZA,2  3  8  863
"",Minang House,304,ORCHARD ROAD,02-04,LUCKY PLAZA,2  3  8  863
"","Minang Nasi Pandang (S8) @ TheFood Market Century Square",2,TAMPINES CENTRAL 5,03-19,CENTURY SQUARE,5  2  9  5  09
"","Minced Meat Noodle (S12) @Kopitiam Changi General Hospital",2,SIMEI STREET 3,01-20,CHANGI GENERAL HOSPITAL,5  2  9  8  89
"","MINI WOK - KAMPONG HOUSE(S16) @ Food Junction Eastpoint Mall",3,SIMEI STREET 6,04-04,EASTPOINT MALL,5  2  8  833
"","Mini Wok (S23)@ Jurong WestHawker Centre",637,JURONG WEST STREET 61,02-23,Jurong West Hawker Centre,640637
"","Mini Wok (S7) @ Flavours ByHesed&Emet",21,Tampines Ave 1,01-00,Temasek Polytechnic (Blk 23A),529757
"","MINI WOK (S8) @ Institute of MentalHealth",10,Buangkok View,-,Institute Mental Health,539747
"","Mini Wok Seafood @ Mr Teh TarikEating House",846,YISHUN RING ROAD,01-3603,YISHUN NEW TOWN,7   6  0  8 46
"","Miniwok (S7) @ Fork & Spoon ToaPayoh",470,LORONG 6 TOA PAYOH,02-70,HDB HUB,3  1  0  470
"",MINORA CUISINE,117,SYED ALWI ROAD,-,-,207685
"",Minum Kopi Cafe & Bakery,213,BEDOK NORTH STREET 1,-,01  139/141/145,460213
"","Mix Economic Rice (S1) @ QuadCafe",60,NANYANG DRIVE,B1,School of Biological Sciences,637551
"",Modern Grill Seafood,500,CLEMENCEAU AVENUE NORTH,01,-,229495
"",MR Bakery,44,HOLLAND DRIVE,02-30,-,270044
"",MR PNUT PANCAKE GROUP,3020,UBI AVENUE 2,01-107,-,408896
"","Mr Prata (S2) @ FoodjunctionEastpoint",3,SIMEI STREET 6,04-04,EASTPOINT MALL,5  2  8  833
"",Mr Teh Tarik Deli,15,PETIR ROAD,0  1-58/59/60,-,678270
"",Mr Teh Tarik Express,10,EUNOS ROAD 8,B  1-130/131,SINGAPORE POST CENTRE,4  0  8  6  00
"",Mr Teh Tarik Express,930,YISHUN AVENUE 2,01-03,NORTHPOINT,7  6  9  0 98
"","Mr Teh Tarik Seafood (S7) @ Mr TehTarik Eating House",204,BEDOK NORTH STREET 1,01-435,-,460204
"",MR W KITCHEN & CAFE,80,Jurong East Street 21,01-05,DEVAN NAIR INSTITUTE,609607
"",Mr Wholly,38,SULTAN GATE,01-01,-,198486
"",Mr. Prata,26,EVANS ROAD,01-02,Yoha Hostel,259367
"",Mr. Prata,476,TAMPINES STREET 44,01-189,-,520476
"",Mr. Prata,742,BEDOK RESERVOIR ROAD,0 1-3105,-,470742
"",Mr. Prata,320,CLEMENTI AVENUE 4,01-37,-,120320
"","Mr. Teh Tarik Seafood (S5) @ Mr TehTarik Eating House",625,ELIAS ROAD,01-332,ELIAS MALL,5  1  0 625
"","MUK BANG KOREANRESTAURANT",750,CHAI CHEE ROAD,01-02,VIVA BUSINESS PARK @ CHAI CHEE,4  6  9  0  0  0
"",Mukshidonna,1,PASIR RIS CLOSE,02-324,"E! AVENUE, MARKET SQUARE",519599
"",Mushroom,50,Anchorvale Street,01-02,-,544834
"",Mushroom,181,Lornie Road,-,MacRitchie Reservoir Park,297732
"","MUTTON STALL (MNGD BY ASMFROZEN FOOD PTE LTD)",104,YISHUN RING ROAD,01-71,-,760104
"",Muugu Fork,142,ARAB STREET,-,-,199828
"",My Briyani House @ Mr Teh Tarik,1,SENGKANG SQUARE,01-25,COMPASS ONE,545078
"",My Briyani House @ Mr Teh Tarik,2,JURONG EAST STREET 21,02-53,IMM BUILDING,6  0  9 601
"",My Briyani House @ Mr Teh Tarik,33,Sengkang West Avenue,01-31/33,The Seletar Mall,797653
"",My Briyani House @ Mr Teh Tarik,1000,EAST COAST PARKWAY,01-04,MARINE COVE,4  4  9  876
"",My Briyani House @ Mr Teh Tarik,,51 Tampines Ave 4,01-15,Our Tampines Hub,529684
"",My Kampung,18,Yishun Avenue 9,02-01,Junction Nine,768897
"",My Kampung,33,Sengkang West Avenue,B2-07,The Seletar Mall,797653
"","MY KAMPUNG CHICKEN (S1) @KAMPUNG ADMIRALTY",676,Woodlands Avenue 1,02-39,Kampung Admiralty,730676
"","My Kampung Chicken Rice (S11)@Republic Polytechnic",9,WOODLANDS AVENUE 9,01-01,REPUBLIC POLYTECHNIC,7  3  8  9 64
"",MY MAKAN PLACE PTE LTD,,283 Tanjong Katong Road,-,-,437066
"","My Place Seafood (S9) @ Fork &Spoon Woodlands Mart",768,WOODLANDS AVENUE 6,0  1-30-32,WOODLANDS MART,7  3  0  7  68
"",My Spice Affair,12,KALLANG AVENUE,02-11,APERIA,339511
"",NA NA THAI RESTAURANT,14,SCOTTS ROAD,04-22/24,FAR EAST PLAZA,2  2  8  213
"",Nando's,21,Choa Chu Kang Avenue 4,01-06/07,Lot One Shopper's Mall,689812
"",Nando's,1,Vista Exchange Green,B1-09,The Star Vista,138617
"",Nando's,68,Orchard Road,04-10&11,Plaza Singapura,238839
"",Nando's,60,AIRPORT BOULEVARD,36-57,CHANGI AIRPORT TERMINAL 2,8  1  9  643
"",Nando's,9,BISHAN PLACE,01-51,JUNCTION 8 SHOPPING CENTRE,5  7  9   8 37
"",Nando's,23,"Serangoon Central,","B1-41,42,43",NEX,556083
"",Nando's,4,Tampines Central 5,01-46,Tampines Mall,529510
"",Nando's,163,Tanglin Road,01-14 & 15,Tanglin Mall,247933
"","Nasi Ayam @ Mr Teh Tarik EatingHouse",846,YISHUN RING ROAD,01-3603,YISHUN NEW TOWN,7   6  0  8 46
"","NASI LEMAK & ECONOMIC BEEHOON (S2) @ TUAN TUAN . PUANPUAN",30,WOODLANDS AVENUE 2,0  1-17/18,WOODLANDS MRT STATION,7  3  8   3  43
"","NASI LEMAK & ECONOMICNOODLES (S2) @ SAMBALSAMBAL ADMIRALTY MRT",70,WOODLANDS AVENUE 7,01-02,ADMIRALTY MRT STATION (PART D),7  3  8  3  4  4
"","NASI LEMAK & ECONOMICNOODLES (S4) @ KAMPONGCHANTEK ANG MO KIO MRT",2450,ANG MO KIO AVENUE 8,01-10/17,ANG MO KIO MRT STATION,569811
"","NASI LEMAK & NOODLES (S1) @KAKI CORNER",61,CHOA CHU KANG DRIVE,01-05,YEW TEE MRT STATION,6  8  9  7 15
"","NASI LEMAK & NOODLES (S1) @KAWAN STATION SEMBAWANGMRT",11,CANBERRA ROAD,-,SEMBAWANG MRT STATION,7  5  9  7   75
"","Nasi Lemak & Satay Stall (S2) @Straits Food Village",60,AIRPORT BOULEVARD,36-141,"CHANGI AIRPORT TERMINAL2,DEPARTURE TRANSIT LOUNGE",819643
"",NASI LEMAK (CCK),303,CHOA CHU KANG AVENUE 4,01-723,-,680303
"","Nasi Lemak (S2) @ Kopitiam VivoCity",1,HARBOURFRONT WALK,B2-39,VIVO CITY,0  9  8585
"","Nasi Lemak (S5) @ Malaysian FoodStreet (RWS)",8,Sentosa Gateway,01-03 to 28,Malaysian Food Street,098269
"","NASI LEMAK / BEE HOON (S2) @KAKAK CAFE",530,LORONG 6 TOA PAYOH,01-03-B,HDB HUB,3  1  0  530
"","NASI LEMAK / CHICKEN RICE (S5)@ NOM'S BISTRO SEMBAWANGMRT",11,CANBERRA ROAD,01-01,SEMBAWANG MRT STATION,7  5  9  7   75
"","NASI LEMAK/CHICKEN RICE @SMART COOK WOODLANDS",30,WOODLANDS AVENUE 2,01-22,WOODLANDS MRT STATION,7  3  8   3  43
"",Nasi Padang,,3A Woodlands Square,01-24,Woodlands Bus Interchange,737735
"","Nasi Padang (S12) @ Cantine JurongPoint",1,JURONG WEST CENTRAL 2,B   1 -42/43/44,JURONG POINT,6   4  8  886
"",Nasi Padang (S2) @ Dignity Kitchen,267,SERANGOON AVENUE 3,-,-,550267
"","NASI PADANG (S3) @ KAMPONGCHANTEK ANG MO KIO MRT",2450,ANG MO KIO AVENUE 8,01-10/17,ANG MO KIO MRT,569811
"",Nasi Padang (S3) @ Kopitiam NUH,5,LOWER KENT RIDGE ROAD,01-01,NUH MAIN BUILDING LOBBY,119074
"","NASI PADANG (S4) @ SIAECHANGAR 5 STAFF CANTEEN(MNGD BY BLISSFUL GROUP PTELTD)",41,AIRLINE ROAD,-,SIAEC HANGAR 5 STAFF CANTEEN,819831
"","NASI PADANG (S5) @ FLAVOURSBY HESED&EMET",21,Tampines Ave 1,01-00,Temasek Polytechnic (Blk 23A),529757
"",Nasi Padang (S6) @ Quad Cafe,60,NANYANG DRIVE,B1,School of Biological Sciences,637551
"","Nasi Padang (S8) @ 89.7 SupperClub (Geylang East)",1016,GEYLANG EAST AVENUE 3,01-165,-,389731
"","Nasi Padang (S9) @ BagusCauseway Point",1,WOODLANDS SQUARE,07-03,CAUSEWAY POINT,7  3  8  0 99
"",Nasi Padang (S9) @ Food Emporium,10,AIRPORT BOULEVARD,02-205,"CHANGI AIRPORT TERMINAL 4(MEZZANINE)",819665
"",Nasi Padang (S9) @ Kopitiam TTSH,11,JALAN TAN TOCK SENG,01-13/14,TAN TOCK SENG HOSPITAL,3  0  8  4 33
"",Nasi Padang @ The Food Inn,90,BRAS BASAH ROAD,B1-32,"(PART RIGHT) ESPLANADE MRTSTATION",189562
"","Nasi Padang Indonesia Bandung (S1)@ FoodPark",,182A Rivervale Crescent,01-01,-,541182
"","Nasi Padang, Western & Pasta (S7)@ Central Square",21,LOWER KENT RIDGE ROAD,02-00,"YUSOF ISHAK HOUSE, CENTRALSQUARE CANTEEN",119078
"",NATSU,,60 PAYA LEBAR ROAD,01-62,PAYA LEBAR SQUARE,409051
"",NATSU,3155,"COMMONWEALTH AVENUEWEST",B1-K17,THE CLEMENTI MALL,129588
"",Nene Chicken,90,HOUGANG AVENUE 10,02-24,HOUGANG MALL,5  3  8  7 66
"",Nene Chicken,,311 NEW UPPER CHANGI ROAD,02-02,BEDOK MALL,467360
"",Nene Chicken,,71 Woodlands Avenue 10,01-07/08,Woodlands Industrial Xchange,737743
"",Nene Chicken,1,JELEBU ROAD,02-10,BUKIT PANJANG PLAZA,6  7   7  743
"",Nene Chicken,23,Serangoon Central,04-15/16,Serangoon Nex,556083
"",Nene Chicken,1,Vista Exchange Green,01-24,THE STAR VISTA,138617
"",NENEK PLACE,81,LORONG 25 GEYLANG,0 1-05/06,ALJUNIED MRT STATION,3  8  8  310
"",New Cameroon Seafood Restaurant,13,MACKENZIE ROAD,-,-,228676
"",New Hawa Restaurant,537,BEDOK NORTH STREET 3,-,-,460537
"",New Hawa Restaurant,304,JOO CHIAT ROAD,-,-,427455
"","New Hawa Restaurant (S2) @ HawaChangi",428,CHANGI ROAD,01-02,-,419871
"",New Hawa Seafood & Chicken Rice,201D,TAMPINES STREET 21,01-1105,-,524201
"",NGT Confectionery,513,Bishan Street 13,01-504,-,570513
"",NGT Confectionery,504,JURONG WEST STREET 51,01-227,-,640504
"",Noodle History (K8)@Yummy Box,1,Venture Avenue,03-K8,Big Box,608521
"","NOODLES STALL (S3) @ Institute ofMental Health",10,Buangkok View,-,Institute Mental Health,539747
"","Noodles/Mini Wok (S9) @ FrontierCanteen (Phase 2)",21,LOWER KENT RIDGE ROAD,-,"NUS Canteen 14, Frontier (Phase 2)",119077
"",Nuodle,10,EUNOS ROAD 8,01-136,SINGAPORE POST CENTRE,4  0  8  6  00
"","Nyonya Cuisine (S5) @ KoufuSengkang General and CommunityHospital",1,Anchorvale Street,01-21,"Sengkang General and CommunityHospital",544835
"",O Bread 2,303,Chua Choa Kang Ave 4,01-723,-,684303
"","Oasis Spice Cafe @ UNIVERSALSTUDIOS SINGAPORE (RWS)",30,SENTOSA GATEWAY,01-361,-,098269
"",Old Bibik's Peranakan Kitchen,328,JOO CHIAT ROAD,01-02,JOO CHIAT APARTMENTS,4  2  7  5 85
"",Old Chang Kee,65,AIRPORT BOULEVARD,B2-51,"CHANGI AIRPORT TERMINAL 3 -Basement Level 2 North",819663
"",Old Chang Kee,3,TEMASEK BOULEVARD,01-301,SUNTEC CITY MALL,0  3  8  983
"",Old Chang Kee,238,THOMSON ROAD,02-41,NOVENA SQUARE,3  0  7  6  83
"",Old Chang Kee,10,CHOA CHU KANG AVENUE 4,01-22,CHOA CHU KANG MRT STATION,6  8  9  8  10
"",Old Chang Kee,100,PUNGGOL CENTRAL,-,SPC SERVICE STATION,828839
"",Old Chang Kee,10,Airport Boulevard,02-81/82,Changi Airport Terminal 4,819665
"",Old Chang Kee,1,JELEBU ROAD,01-16,BUKIT PANJANG PLAZA,6  7   7  743
"",Old Chang Kee,311,NEW UPPER CHANGI ROAD,B2-K4,BEDOK MALL,467360
"",Old Chang Kee,10,ANSON ROAD,01-11,INTERNATIONAL PLAZA,0  7  9   903
"",Old Chang Kee,2,ORCHARD TURN,B4-36,ION ORCHARD,2  3  8  8 01
"",Old Chang Kee,2,JURONG EAST STREET 21,01-35,IMM BUILDING,6  0  9 601
"",Old Chang Kee,55,SIMS AVENUE EAST,01-03,KEMBANGAN MRT STATION,416551
"",Old Chang Kee,1,BUKIT BATOK CENTRAL LINK,B1-05,WEST MALL,6  5  8  713
"",Old Chang Kee,30,SIMEI STREET 3,01-02,SIMEI MRT STATION,5  2  9 888
"",Old Chang Kee,2450,ANG MO KIO AVENUE 8,0  1-12/14/15,ANG MO KIO MRT STATION,569811
"",Old Chang Kee,80,MARINE PARADE ROAD,01-14,PARKWAY PARADE,4  4  9  2  69
"",Old Chang Kee,1,MARITIME SQUARE,02-20B,HARBOURFRONT CENTRE,099253
"",Old Chang Kee,21,CHOA CHU KANG NORTH 6,01-37,YEWTEE POINT,6  8  9  578
"",Old Chang Kee,60,"AIRPORT BOULEVARD (KIOSKN)",-,"CHANGI AIRPORT TERMINAL 2 -DEPARTURE/TRANSIT LOUNGESOUTH",819643
"",Old Chang Kee,33,JALAN BUROH,-,SPC Petrol Station,619487
"",Old Chang Kee,435,ORCHARD ROAD,B1-49,WISMA ATRIA,2  3  8  877
"",Old Chang Kee,46,PAGODA STREET,-,-,059205
"",Old Chang Kee,180,KITCHENER ROAD,B1-K5,CITY SQUARE MALL,208539
"",Old Chang Kee,9A,SERANGOON NORTH AVENUE 5,-,(SMART ENERGY),554500
"",Old Chang Kee,930,YISHUN AVENUE 2,01-04,NORTHPOINT,7  6  9  0 98
"",Old Chang Kee,20,TAMPINES CENTRAL 1,01-03,TAMPINES MRT STATION,5  2  9  5 38
"",Old Chang Kee,1,WOODLANDS SQUARE,0 1-K11,CAUSEWAY POINT,7  3  8  0 99
"",Old Chang Kee,53,ANG MO KIO AVENUE 3,01-32,AMK HUB,5  6  9  933
"",Old Chang Kee,50,BUKIT BATOK EAST AVENUE 3,-,CALTEX SERVICE STATION,6  5  9  879
"",Old Chang Kee,205,HOUGANG STREET 21,0  1 -133/135,"HEARTLAND MALL, KOVAN",5   3  0  2 05
"",Old Chang Kee,130,DUNEARN ROAD,-,CALTEX SERVICE STATION,3  0  9  436
"",Old Chang Kee,290,ORCHARD ROAD,B1-10,"PARAGON, THE",2   3  8  859
"",Old Chang Kee,68,ORCHARD ROAD,B2-02,PLAZA SINGAPURA,2  3  8  8 39
"",Old Chang Kee,5,"CHANGI BUSINESS PARKCENTRAL PARK 1",B1-K2,CHANGI CITY POINT,486038
"",Old Chang Kee,1,SENGKANG SQUARE,01-27,COMPASS ONE,545078
"",Old Chang Kee,460,ALEXANDRA ROAD,02-36,ALEXANDRA RETAIL CENTRE,1 19963
"",Old Chang Kee,157,UPPER EAST COAST ROAD,-,SPC SERVICE STATION,4  5  5  253
"",Old Chang Kee,55,UPPER SERANGOON ROAD,0  1-03/04,POTONG PASIR MRT STATION,3  4  7  6 94
"",Old Chang Kee,166,BUKIT MERAH CENTRAL,02-3531,-,150166
"",Old Chang Kee,238,THOMSON ROAD,0 1-70/71,NOVENA SQUARE,3  0  7  6  83
"",Old Chang Kee,500,LORONG 6 TOA PAYOH,01-34,HDB HUB,3  1  0  500
"",Old Chang Kee,21,CHOA CHU KANG AVENUE 4,B1-K23,LOT 1 MALL,689812
"",Old Chang Kee,10,EUNOS ROAD 8,01-147,SINGAPORE POST CENTRE,4  0  8  6  00
"",Old Chang Kee,83,Punggol Central,01-K2,Water Way Point (WEST WING),828761
"",Old Chang Kee,14D,SCOTTS ROAD,-,KIOSK 3 FAR EAST PLAZA,2  2  8   2  1  3
"",Old Chang Kee,126,CLEMENTI AVENUE 2,-,CALTEX SERVICE STATION,1  2  9  9   30
"",Old Chang Kee,1,TAMPINES AVENUE 8,-,"CALTEX TAMPINES SERVICESTATION",529594
"",Old Chang Kee,70,Jellicoe Road,01-06/07,V-Hotel Lavender,208767
"",Old Chang Kee,1,TAMPINES WALK,B1-42,OUR TAMPINES HUB,528523
"",Old Chang Kee,22,SERANGOON CENTRAL,B2-12,NEX,556083
"",Old Chang Kee,1,HARBOURFRONT WALK,B 2-K21,VIVO CITY,0  9  8585
"",Old Chang Kee,301,UPPER THOMSON ROAD,0  1-113B,THOMSON PLAZA,5  7  4  4 08
"",Old Chang Kee,81,LORONG 25 GEYLANG,01-13,ALJUNIED MRT STATION,3  8  8  310
"",Old Chang Kee,5,SIMS AVENUE,01-07,KALLANG MRT STATION,3  8  7  4 05
"",Old Chang Kee,50,JURONG GATEWAY ROAD,B1-K10,JURONG EAST MALL (JEM),608549
"",Old Chang Kee,302,TIONG BAHRU ROAD,B1-119,TIONG BAHRU PLAZA,1  6  8  7 32
"",Old Chang Kee,21,JURONG WEST STREET 93,-,CALTEX SERVICE STATION,648964
"",Old Chang Kee,313,ORCHARD ROAD,B3-24,313@somerset,238895
"",Old Chang Kee,19/21/23,MACKENZIE ROAD,01-01,-,228678
