,Name,Address1,Address2,Address3,Address4,Postal,lng,lat,full_address
414,Dapur Penyet (S12) @ FoodRepublic City Square Mall,180,KITCHENER ROAD,04-31,city square mall,208539,103.856625,1.31139,180 KITCHENER ROAD 04-31 city square mall
415,DATANG SELALU,20A,YISHUN CENTRAL,01-01/02,YISHUN TEMPORARY BUS INTERCHANGE,768830,103.8381075,1.4299469999999999,20A YISHUN CENTRAL 01-01/02 YISHUN TEMPORARY BUS INTERCHANGE
416,Delta Cafe (Mngd By Happy Kitchen Mighty Chef),60,AIRPORT BOULEVARD,,CHANGI AIRPORT TERMINAL 2,819643,103.9895145,1.3541940000000001,60 AIRPORT BOULEVARD  CHANGI AIRPORT TERMINAL 2
417,Dessert & Drinks @ Enak Enak Hong Kong Tea House (ECP),1202,EAST COAST PARKWAY,01-01,EAST COAST SEAFOOD CENTRE,449881,103.929759,1.305099,1202 EAST COAST PARKWAY 01-01 EAST COAST SEAFOOD CENTRE
418,DESSERT FIRST PTE. LTD.,8,LIANG SEAH STREET,01-04,,189029,103.8566835,1.297926,8 LIANG SEAH STREET 01-04 
419,Dessert Section @ Straits Kitchen,10,SCOTTS ROAD,,GRAND HYATT SINGAPORE,228211,103.83294,1.30652,10 SCOTTS ROAD  GRAND HYATT SINGAPORE
420,Desserts (B2) @ Takashimaya (Mngd by The Wok People),391,ORCHARD ROAD,B2,NGEE ANN CITY,238872,103.834674,1.302426,391 ORCHARD ROAD B2 NGEE ANN CITY
421,DESSERTS @ AQUAMARINE,6,RAFFLES BOULEVARD,04,MARINA SQUARE,039594,103.8575385,1.291275,6 RAFFLES BOULEVARD 04 MARINA SQUARE
422,DF Kitchen (S3) @ CANTEEN SINGAPORE DISCOVERY CENTRE,510,UPPER JURONG ROAD,01-03,SINGAPORE DISCOVERY CENTRE,638365,103.67835,1.33112,510 UPPER JURONG ROAD 01-03 SINGAPORE DISCOVERY CENTRE
424,Dim Sum & Chicken Rice (S2) @ Tang Tea House Jurong West,414,JURONG WEST STREET 42,01-783,,640414,103.726035,1.352817,414 JURONG WEST STREET 42 01-783 
425,DIM SUM (S5) @ 89.7 SUPPER CLUB,5,CHANGI VILLAGE ROAD,,,500005,103.986828,1.388844,5 CHANGI VILLAGE ROAD  
426,DIM SUM/ECONOMIC RICE/PORRIDGE (S6) @ DIGNITY KITCHEN,267,SERANGOON AVENUE 3,02-02,,550267,103.870953,1.353168,267 SERANGOON AVENUE 3 02-02 
427,Dip 'n' Go,30,WOODLANDS AVENUE 2,01-31,WOODLANDS MRT STATION,738343,103.7873,1.43717,30 WOODLANDS AVENUE 2 01-31 WOODLANDS MRT STATION
428,D'LAKSA,1,SENGKANG SQUARE,B1-46,COMPASS POINT,545078,103.894929,1.391805,1 SENGKANG SQUARE B1-46 COMPASS POINT
429,D'LAKSA,90,HOUGANG AVENUE 10,B1-K7,HOUGANG MALL,538766,103.893696,1.372203,90 HOUGANG AVENUE 10 B1-K7 HOUGANG MALL
430,D'LAKSA,2,TAMPINES CENTRAL 5,01-36,CENTURY SQUARE,529509,103.9437855,1.352358,2 TAMPINES CENTRAL 5 01-36 CENTURY SQUARE
431,D'lite Cafe,321,JOO CHIAT PLACE,,PARKWAY EAST HOSPITAL,427990,103.909068,1.315116,321 JOO CHIAT PLACE  PARKWAY EAST HOSPITAL
432,DoDo Express,1,North Point Drive,B2-138,North Point City,768019,103.8361725,1.427868,1 North Point Drive B2-138 North Point City
433,Domino's Pizza Singapore Pte Ltd,301,TANJONG KATONG ROAD,,,437084,103.8960585,1.306395,301 TANJONG KATONG ROAD  
434,Domino's Pizza Singapore Pte Ltd,369,SEMBAWANG ROAD,,,758382,103.8261645,1.426941,369 SEMBAWANG ROAD  
435,Domino's Pizza Singapore Pte Ltd,253,CHOA CHU KANG AVENUE 1,01-01,KEAT HONG SHOPPING CENTRE,680253,103.744368,1.377414,253 CHOA CHU KANG AVENUE 1 01-01 KEAT HONG SHOPPING CENTRE
436,Domino's Pizza Singapore Pte Ltd,169,UPPER PAYA LEBAR ROAD,,,534860,103.8853935,1.339722,169 UPPER PAYA LEBAR ROAD  
437,Domino's Pizza Singapore Pte Ltd,233,JALAN KAYU,,,799457,103.872807,1.396098,233 JALAN KAYU  
438,Domino's Pizza Singapore Pte Ltd,802,TAMPINES AVE 4,01-23,,520802,103.9380795,1.3462290000000001,802 TAMPINES AVE 4 01-23 
439,Domino's Pizza Singapore Pte Ltd,47,LORONG 6 TOA PAYOH,01-148,,310047,103.8540285,1.336914,47 LORONG 6 TOA PAYOH 01-148 
440,Domino's Pizza Singapore Pte Ltd,42,HOLLAND DRIVE,01-81,,270042,103.7929635,1.307907,42 HOLLAND DRIVE 01-81 
441,Domino's Pizza Singapore Pte Ltd,60,PUNGGOL EAST,01-10,,828825,103.918392,1.39608,60 PUNGGOL EAST 01-10 
442,Domino's Pizza Singapore Pte Ltd,943,UPPER SERANGOON ROAD,,,534710,103.886145,1.36143,943 UPPER SERANGOON ROAD  
443,Domino's Pizza Singapore Pte Ltd,339,ANG MO KIO AVENUE 1,01-1587,,560339,103.8491145,1.3650660000000001,339 ANG MO KIO AVENUE 1 01-1587 
444,Domino's Pizza Singapore Pte Ltd,218,BEDOK NORTH STREET 1,01-15,,460218,103.93425,1.327491,218 BEDOK NORTH STREET 1 01-15 
445,Domino's Pizza Singapore Pte Ltd,625,ELIAS ROAD,01-312,ELIAS MALL,510625,103.9419765,1.3786019999999999,625 ELIAS ROAD 01-312 ELIAS MALL
446,Domino's Pizza Singapore Pte Ltd,202,Jurong East Street 21,01-115,,600202,103.7429685,1.336761,202 Jurong East Street 21 01-115 
447,Domino's Pizza Singapore Pte Ltd,71,KILLINEY ROAD,,,239527,103.839417,1.298754,71 KILLINEY ROAD  
448,Domino's Pizza Singapore Pte Ltd,505,WEST COAST DRIVE,01-210,,120505,103.759983,1.312281,505 WEST COAST DRIVE 01-210 
449,Domino's Pizza Singapore Pte Ltd,216,"ANG MO KIO AVE 4, KEBUN BARU CC",,,569897,103.8375495,1.373013,"216 ANG MO KIO AVE 4, KEBUN BARU CC  "
450,Domino's Pizza Singapore Pte Ltd,557,"Bukit Timah Road, Crown Centre",01-03,,269694,103.811157,1.323027,"557 Bukit Timah Road, Crown Centre 01-03 "
451,Domino's Pizza Singapore Pte Ltd,918,EAST COAST ROAD,,,459111,103.9247685,1.312326,918 EAST COAST ROAD  
452,Domino's Pizza Singapore Pte Ltd,574,"Ang Mo Kio Avenue 10,  #01-1827",,,560574,103.8563955,1.370898,"574 Ang Mo Kio Avenue 10,  #01-1827  "
453,Domino's Pizza Singapore Pte Ltd,462,TAMPINES STREET 44,01-76,,520462,103.955112,1.359009,462 TAMPINES STREET 44 01-76 
454,Domino's Pizza Singapore Pte Ltd,146,ARAB STREET,,,199830,103.858029,1.302678,146 ARAB STREET  
455,Domino's Pizza Singapore Pte Ltd,1,YISHUN AVENUE 9,01-03,NEE SOON EAST COMMUNITY CLUB,768893,103.8385665,1.430649,1 YISHUN AVENUE 9 01-03 NEE SOON EAST COMMUNITY CLUB
456,Domino's Pizza Singapore Pte Ltd,6,JURONG WEST AVENUE 1,01-03,HONG KAH EAST COMMUNITY CLUB,649520,103.725351,1.350468,6 JURONG WEST AVENUE 1 01-03 HONG KAH EAST COMMUNITY CLUB
457,Domino's Pizza Singapore Pte Ltd,46,TELOK BLANGAH DRIVE,,,100046,103.809852,1.271691,46 TELOK BLANGAH DRIVE  
458,Domino's Pizza Singapore Pte Ltd,13,STANLEY STREET,,,068732,103.847931,1.280349,13 STANLEY STREET  
459,Domino's Pizza Singapore Pte Ltd,161,Bukit Merah Central,,,150161,103.8158775,1.2834539999999999,161 Bukit Merah Central  
460,Domino's Pizza Singapore Pte Ltd,1,HILLVIEW RISE,01-03,HILLVIEW COMMUNITY CLUB,667970,103.7641100805,1.3619300183,1 HILLVIEW RISE 01-03 HILLVIEW COMMUNITY CLUB
462,Dough Culture Pte Ltd,1,WOODLANDS SQUARE,01,CAUSEWAY POINT,738099,103.785984,1.435878,1 WOODLANDS SQUARE 01 CAUSEWAY POINT
463,Dough Culture Pte Ltd,311,New Upper Changi Road,B2-27,Bedok Mall,467360,103.9292685,1.324773,311 New Upper Changi Road B2-27 Bedok Mall
464,Dough Culture Pte Ltd,4,TAMPINES CENTRAL 5,B1-K16,TAMPINES MALL,529510,103.944663,1.352592,4 TAMPINES CENTRAL 5 B1-K16 TAMPINES MALL
465,Dough Culture Pte Ltd,53,ANG MO KIO AVENUE 3,B2-31,AMK HUB,569933,103.8484125,1.3691879999999998,53 ANG MO KIO AVENUE 3 B2-31 AMK HUB
466,Dough Culture Pte Ltd,5,Changi Business Park Central 1,,Changi City Point,486038,103.963023,1.334088,5 Changi Business Park Central 1  Changi City Point
467,Dough Culture Pte Ltd,83,PUNGGOL CENTRAL,01-K5,WATERWAY POINT (EAST WING),828761,103.9018000589,1.4057800345,83 PUNGGOL CENTRAL 01-K5 WATERWAY POINT (EAST WING)
468,Dough Culture Pte Ltd,1,Northpoint Drive,B3-147,NorthPoint City (South Wing),S738019,103.83671,1.4277600000000001,1 Northpoint Drive B3-147 NorthPoint City (South Wing)
469,Dough Culture Pte Ltd,23,SERANGOON CENTRAL,B2-09,NEX MALL,556083,103.872294,1.350765,23 SERANGOON CENTRAL B2-09 NEX MALL
470,Dough Culture Pte Ltd,930,YISHUN AVENUE 2,,NORTHPOINT,769098,103.835979,1.429344,930 YISHUN AVENUE 2  NORTHPOINT
471,D'Pastriez,11,Tanjong Katong road,B1-K5,One Km,437157,103.8947265,1.314603,11 Tanjong Katong road B1-K5 One Km
472,DRINK STALL (S7) @ 89.7 SUPPER CLUB,5,CHANGI VILLAGE ROAD,01-2035,,500005,103.986828,1.388844,5 CHANGI VILLAGE ROAD 01-2035 
473,DRINKS & DESSERT (S9) @ 89.7 Supper Club (Geylang East),1016,GEYLANG EAST AVENUE 3,01-165,,389731,103.891428,1.318824,1016 GEYLANG EAST AVENUE 3 01-165 
474,Drinks & Desserts (S8) @ Quad Cafe,60,NANYANG DRIVE,B1,School of Biological Sciences,637551,103.6789000183,1.3446399583,60 NANYANG DRIVE B1 School of Biological Sciences
475,Drinks & Desserts (S8) @ Tang Tea House Jurong West,414,JURONG WEST STREET 42,01-783,,640414,103.726035,1.352817,414 JURONG WEST STREET 42 01-783 
476,DRINKS & NOODLES (S1) @ KHUN THAI CCK,10,CHOA CHU KANG AVENUE 4,0 1-18/19,CHOA CHU KANG MRT STATION,689810,103.744296,1.385109,10 CHOA CHU KANG AVENUE 4 0 1-18/19 CHOA CHU KANG MRT STATION
477,Drinks Dessert Fruits (S1) @ Cantine Jurong Point,1,JURONG WEST CENTRAL 2,B   1 -42/43/44,JURONG POINT,648886,103.7067075,1.339632,1 JURONG WEST CENTRAL 2 B   1 -42/43/44 JURONG POINT
478,DRINKS (S1) BAGUS HARBOUR FRONT,1,MARITIME SQUARE,0  1-103/108,HARBOURFRONT CENTRE,099253,103.819437,1.26306,1 MARITIME SQUARE 0  1-103/108 HARBOURFRONT CENTRE
479,D'RUBINAH EATING CORNER,846,YISHUN RING ROAD,01-3659,YISHUN NEW TOWN,760846,103.8346425,1.416789,846 YISHUN RING ROAD 01-3659 YISHUN NEW TOWN
480,D'RUBINAH RESTAURANT,2,WOODLANDS SECTOR 1,01-28,WOODLANDS SPECTRUM,738068,103.807602,1.454265,2 WOODLANDS SECTOR 1 01-28 WOODLANDS SPECTRUM
481,D'RUBINAH RESTAURANT,592,SEMBAWANG ROAD,,SEMBAWANG SPRINGS ESTATE,758451,103.8250215,1.440612,592 SEMBAWANG ROAD  SEMBAWANG SPRINGS ESTATE
482,D'RUBINAH RESTAURANT,10,ANG MO KIO STREET 65,06-01,TECHPOINT,569059,103.8493485,1.389267,10 ANG MO KIO STREET 65 06-01 TECHPOINT
483,DUNKIN' DONUTS,20,TAMPINES CENTRAL 1,01-20,TAMPINES MRT STATION,529538,103.945086,1.353483,20 TAMPINES CENTRAL 1 01-20 TAMPINES MRT STATION
484,DUNKIN' DONUTS,53,ANG MO KIO AVENUE 3,01,AMK HUB,569933,103.8484125,1.3691879999999998,53 ANG MO KIO AVENUE 3 01 AMK HUB
485,DUNKIN' DONUTS,1,MARITIME SQUARE,01-102,HARBOURFRONT CENTRE,099253,103.819437,1.26306,1 MARITIME SQUARE 01-102 HARBOURFRONT CENTRE
486,DUNKIN' DONUTS,2,JURONG EAST STREET 21,01-42,IMM BUILDING,609601,103.7464605,1.334988,2 JURONG EAST STREET 21 01-42 IMM BUILDING
487,DUNKIN' DONUTS,80,AIRPORT BOULEVARD,02-K17,CHANGI AIRPORT TERMINAL 1,819642,103.990842,1.362537,80 AIRPORT BOULEVARD 02-K17 CHANGI AIRPORT TERMINAL 1
488,DUNKIN' DONUTS,311,NEW UPPER CHANGI ROAD,B2-K7,BEDOK MALL,467360,103.9292685,1.324773,311 NEW UPPER CHANGI ROAD B2-K7 BEDOK MALL
489,DUNKIN' DONUTS,2,JURONG EAST CENTRAL 1,B1-K06A,J CUBE MALL,609731,103.7401785,1.333269,2 JURONG EAST CENTRAL 1 B1-K06A J CUBE MALL
490,DUNKIN' DONUTS,14,SCOTTS ROAD,01-03,FAR EAST PLAZA,228213,103.8336075,1.307268,14 SCOTTS ROAD 01-03 FAR EAST PLAZA
491,DUNKIN' DONUTS,1,WOODLANDS SQUARE,,CAUSEWAY POINT,738099,103.785984,1.435878,1 WOODLANDS SQUARE  CAUSEWAY POINT
492,DUNKIN' DONUTS,2,ORCHARD TURN,B4-60,ION ORCHARD,238801,103.831722,1.30437,2 ORCHARD TURN B4-60 ION ORCHARD
493,DUNKIN' DONUTS,180,KITCHENER ROAD,B1-K12,CITY SQUARE MALL,208539,103.856625,1.31139,180 KITCHENER ROAD B1-K12 CITY SQUARE MALL
494,DUNKIN' DONUTS,83,PUNGGOL CENTRAL,B1-K3,WATERWAY POINT (WEST WING),828761,103.9018000589,1.4057800345,83 PUNGGOL CENTRAL B1-K3 WATERWAY POINT (WEST WING)
495,DUNKIN' DONUTS,30,SEMBAWANG DRIVE,01-27A,SUN PLAZA,757713,103.8195,1.448199,30 SEMBAWANG DRIVE 01-27A SUN PLAZA
496,DUNKIN' DONUTS,930,YISHUN AVENUE 2,B1-17,NORTHPOINT,769098,103.835979,1.429344,930 YISHUN AVENUE 2 B1-17 NORTHPOINT
497,Dynamic Dining House,5,CHANGI VILLAGE ROAD,01- 2039/2041,,500005,103.986828,1.388844,5 CHANGI VILLAGE ROAD 01- 2039/2041 
498,Earle Swensens Restaurant,1,HARBOURFRONT WALK,0 2-117,VIVO CITY,098585,103.822398,1.264383,1 HARBOURFRONT WALK 0 2-117 VIVO CITY
499,Earle Swensens Restaurant,3,GATEWAY DRIVE,03-10/11,WESTGATE MALL,608532,103.742658,1.334133,3 GATEWAY DRIVE 03-10/11 WESTGATE MALL
500,East West Noodle (S11) @ Matrix Cafeteria ITE College West,1,Choa Chu Kang Grove,02-01,BLK 3 ITE COLLEGE WEST,688236,103.7515005,1.374309,1 Choa Chu Kang Grove 02-01 BLK 3 ITE COLLEGE WEST
501,Eatzi Gourmet Bistro,60,YISHUN AVENUE 4,01-V2,Safra Yishun Country Club,769027,103.841136,1.424592,60 YISHUN AVENUE 4 01-V2 Safra Yishun Country Club
502,Eatzi Gourmet Bistro,2,Ang Mo Kio Drive,01-02/03/04,ITE College Central,567220,103.8565899195,1.3765700405,2 Ang Mo Kio Drive 01-02/03/04 ITE College Central
503,Eatzi Gourmet Bistro,,60 Paya Lebar Road,B1-15,Paya Lebar Square,409051,103.89258,1.3188149999999998, 60 Paya Lebar Road B1-15 Paya Lebar Square
504,EDMOND CHICKEN RICE,46-1,COMMONWEALTH DRIVE,0 1-358,,140461,103.798386,1.299483,46-1 COMMONWEALTH DRIVE 0 1-358 
505,EDMOND CHICKEN RICE,11,TELOK BLANGAH CRESCENT,01-110,,090011,103.8186495,1.27737,11 TELOK BLANGAH CRESCENT 01-110 
506,EIGHTEEN CHEFS,311,New Upper Changi Road,02-03/04,Bedok Mall,467360,103.9292685,1.324773,311 New Upper Changi Road 02-03/04 Bedok Mall
507,EIGHTEEN CHEFS,8,GRANGE ROAD,04-02,CATHAY CINELEISURE  ORCHARD,239695,103.8364425,1.301499,8 GRANGE ROAD 04-02 CATHAY CINELEISURE  ORCHARD
508,EIGHTEEN CHEFS,2,HANDY ROAD,B1-19/20,THE CATHAY,229233,103.8477915,1.299186,2 HANDY ROAD B1-19/20 THE CATHAY
509,EIGHTEEN CHEFS,1,Northpoint Drive,02-128,North Point City,768019,103.8361725,1.427868,1 Northpoint Drive 02-128 North Point City
510,EIGHTEEN CHEFS,2,JURONG EAST CENTRAL 1,02-13,JCUBE,609731,103.7401785,1.333269,2 JURONG EAST CENTRAL 1 02-13 JCUBE
511,EIGHTEEN CHEFS,200,VICTORIA STREET,04-06,BUGIS JUNCTION,188021,103.8553875,1.298988,200 VICTORIA STREET 04-06 BUGIS JUNCTION
512,EIGHTEEN CHEFS,1,JELEBU ROAD,02-19,BUKIT PANJANG PLAZA,677743,103.7641455,1.380321,1 JELEBU ROAD 02-19 BUKIT PANJANG PLAZA
513,EIGHTEEN CHEFS,21,CHOA CHU KANG NORTH 6,#  B1-29/30,YEWTEE POINT,689578,103.746663,1.3970609999999999,21 CHOA CHU KANG NORTH 6 #  B1-29/30 YEWTEE POINT
514,EIGHTEEN CHEFS,23,Serangoon Central,01-57,NEX,556083,103.872294,1.350765,23 Serangoon Central 01-57 NEX
515,EIGHTEEN CHEFS,3,SIMEI STREET 6,01-12,EASTPOINT MALL,528833,103.953384,1.342719,3 SIMEI STREET 6 01-12 EASTPOINT MALL
516,EIGHTEEN CHEFS,1,PASIR RIS CLOSE,0 2-330/331,E!AVENUE,519599,103.9548285,1.377495,1 PASIR RIS CLOSE 0 2-330/331 E!AVENUE
517,EIGHTEEN CHEFS,1,Vista Exchange Green,02-22,The Star Vista,138617,103.788153,1.306719,1 Vista Exchange Green 02-22 The Star Vista
518,EIGHTEEN CHEFS,445,BEDOK NORTH STREET 1,0 1-05/06,DJITSUN MALL,469661,103.9295835,1.326114,445 BEDOK NORTH STREET 1 0 1-05/06 DJITSUN MALL
519,EIGHTEEN CHEFS SIGNATURE,1,Northpoint Drive,02-128/129,South Wing of North Point City,768019,103.8361725,1.427868,1 Northpoint Drive 02-128/129 South Wing of North Point City
520,Empire Cuisine,4,ANG MO KIO AVENUE 12,01-01,CFM BUILDING,569498,103.866381,1.372563,4 ANG MO KIO AVENUE 12 01-01 CFM BUILDING
521,Enak Corner (S7) @ 27 Chang Cheng Mee Wah,27,WOODLANDS LINK,01-01,Chang Cheng HQ,738732,103.8109005,1.452186,27 WOODLANDS LINK 01-01 Chang Cheng HQ
522,Enak Corner (S9) @ Changi General Hospital,2,SIMEI STREET 3,01-20,CHANGI GENERAL HOSPITAL,529889,103.9493385,1.340091,2 SIMEI STREET 3 01-20 CHANGI GENERAL HOSPITAL
523,Enak Kitchen (S2) @ FoodTastic,Block 818,Choa Chu Kang Avenue 1,01-01,,680818,103.7488275,1.3780350000000001,Block 818 Choa Chu Kang Avenue 1 01-01 
525,Encik Tan,380,UPPER BUKIT TIMAH ROAD,01-444,Rail Mall,678040,103.768173,1.357767,380 UPPER BUKIT TIMAH ROAD 01-444 Rail Mall
526,Encik Tan,3,TEMASEK BOULEVARD North Wing Tower 2,B1-149,SUNTEC CITY MALL,038983,103.859307,1.295001,3 TEMASEK BOULEVARD North Wing Tower 2 B1-149 SUNTEC CITY MALL
527,Encik Tan,1,Vista Exchange Green,01-20/21,Star Vista,138617,103.788153,1.306719,1 Vista Exchange Green 01-20/21 Star Vista
528,Encik Tan,2,JURONG EAST CENTRAL 1,B1-K05,JCUBE,609731,103.7401785,1.333269,2 JURONG EAST CENTRAL 1 B1-K05 JCUBE
529,Encik Tan,201,VICTORIA STREET,01-02/K1,,188067,103.8546405,1.2994919999999999,201 VICTORIA STREET 01-02/K1 
530,Encik Tan,930,YISHUN AVENUE 2,01-07,NORTHPOINT,769098,103.835979,1.429344,930 YISHUN AVENUE 2 01-07 NORTHPOINT
531,Encik Tan,1,SENGKANG SQUARE,02-29,COMPASS ONE,545078,103.8946200667,1.391930055,1 SENGKANG SQUARE 02-29 COMPASS ONE
532,Encik Tan,1,BUKIT BATOK CENTRAL LINK,01-01/36,WEST MALL,658713,103.749354,1.350018,1 BUKIT BATOK CENTRAL LINK 01-01/36 WEST MALL
533,Encik Tan,1,HARBOURFRONT WALK,B2-37,VIVO CITY,098585,103.822398,1.264383,1 HARBOURFRONT WALK B2-37 VIVO CITY
534,Encik Tan,313,ORCHARD ROAD,B 3-39/40,313@somerset,238895,103.837986,1.301193,313 ORCHARD ROAD B 3-39/40 313@somerset
535,Encik Tan,21,CHOA CHU KANG NORTH 6,B1-28,YEWTEE POINT,689578,103.746663,1.3970609999999999,21 CHOA CHU KANG NORTH 6 B1-28 YEWTEE POINT
536,Encik Tan,460,ALEXANDRA ROAD,01-32,ALEXANDRA RETAIL CENTRE,119963,103.8018,1.27351,460 ALEXANDRA ROAD 01-32 ALEXANDRA RETAIL CENTRE
537,Encik Tan,3,SIMEI STREET 6,B1-12,EASTPOINT MALL,528833,103.953384,1.342719,3 SIMEI STREET 6 B1-12 EASTPOINT MALL
538,Encik Tan,,51 Tampines Ave 4,01-12,Our Tampines Hub,529684,103.9404105,1.353141, 51 Tampines Ave 4 01-12 Our Tampines Hub
539,Encik Tan,311,NEW UPPER CHANGI ROAD,B1-41/42,Bedok Mall,467360,103.9292685,1.324773,311 NEW UPPER CHANGI ROAD B1-41/42 Bedok Mall
540,Encik Tan,1,Stadium Place,01-32,Kallang Wave Mall,397628,103.873149,1.303074,1 Stadium Place 01-32 Kallang Wave Mall
541,Encik Tan,11,Tanjong Katong Road,B1-02,ONE KM,437157,103.8947265,1.314603,11 Tanjong Katong Road B1-02 ONE KM
542,Encik Tan,83,Punggol Central,B2-03,Waterway Point,828761,103.9018000589,1.4057800345,83 Punggol Central B2-03 Waterway Point
543,Encik Tan,10,EUNOS ROAD 8,B  1-156/159,SINGAPORE POST CENTRE,408600,103.894506,1.318959,10 EUNOS ROAD 8 B  1-156/159 SINGAPORE POST CENTRE
544,Encik Tan Pao Pao,3,"TEMASEK BOULEVARD, NORTH WING TOWER 2",B1-149,SUNTEC CITY MALL,038983,103.859307,1.295001,"3 TEMASEK BOULEVARD, NORTH WING TOWER 2 B1-149 SUNTEC CITY MALL"
545,Epikebabs,8,WILKIE ROAD,01-17,WILKIE EDGE,228095,103.8495105,1.30212,8 WILKIE ROAD 01-17 WILKIE EDGE
546,Evertop Family Restaurant,89 / 91,JOO CHIAT ROAD,00-00,,427383,103.90138,1.3108,89 / 91 JOO CHIAT ROAD 00-00 
547,Evertop Hainanese Boneless Chicken Rice,354,CLEMENTI AVENUE 2,01-259,CLEMENTI AVENUE 2 SHOPPING CENTRE,120354,103.7708595,1.313532,354 CLEMENTI AVENUE 2 01-259 CLEMENTI AVENUE 2 SHOPPING CENTRE
548,Fatimah (S1) @ThirdPlace,18,TUAS AVENUE 7,,,639272,103.6446255,1.333188,18 TUAS AVENUE 7  
549,FATIMAH KITCHEN @ THIRDPLACE,1,CLEANTECH LOOP,02-32,CLEANTECH ONE,637141,103.6923795,1.3554,1 CLEANTECH LOOP 02-32 CLEANTECH ONE
550,Fatimah Nasi Padang (S9) @ Thirdplace,1,STARS AVENUE,04-01,MEDIACORP CAMPUS,138507,103.792221,1.295559,1 STARS AVENUE 04-01 MEDIACORP CAMPUS
551,FATTY BOM BOM (S1) @ ST 11 Coffee Shop,167,Woodlands St 11,,ST11 Coffee House,730167,103.7760399267,1.4333100516,167 Woodlands St 11  ST11 Coffee House
552,Fatty Bom Bom SIZZLE (S2) @ Grains & Hops Food Court Bistro,978,Toa Payoh North,02-01,Green Marks Buildings,319001,103.851396,1.343133,978 Toa Payoh North 02-01 Green Marks Buildings
553,Fire Western N Grill (S10)@Foodjunction Eastpoint,3,SIMEI STREET 6,04-04,EASTPOINT MALL,528833,103.953384,1.342719,3 SIMEI STREET 6 04-04 EASTPOINT MALL
554,Fire Western N Grill (S6) @ Orchis T1 Canteen,80,AIRPORT BOULEVARD,UB,CHANGI AIRPORT TERMINAL 1,819642,103.990842,1.362537,80 AIRPORT BOULEVARD UB CHANGI AIRPORT TERMINAL 1
555,Fire Western N Grill (S9) @The Food Market Century Square,2,TAMPINES CENTRAL 5,03-19,CENTURY SQUARE,529509,103.9437855,1.352358,2 TAMPINES CENTRAL 5 03-19 CENTURY SQUARE
556,Fire Western N Grill Pasta & Grill (S6) @ Foodjunction NEX,23,Serangoon Central,04-36/37,Nex Shopping Centre,556083,103.872294,1.350765,23 Serangoon Central 04-36/37 Nex Shopping Centre
557,Fish & Chicks,531,ANG MO KIO AVENUE 10,01-2429,Happy Hawkers,560531,103.854384,1.3733279999999999,531 ANG MO KIO AVENUE 10 01-2429 Happy Hawkers
558,Fish & Chicks,8,GRANGE ROAD,B1-01,CATHAY CINELEISURE  ORCHARD,239695,103.8364425,1.301499,8 GRANGE ROAD B1-01 CATHAY CINELEISURE  ORCHARD
559,Fish & Chicks,,204 Bedok North Street 1,01-393,,460204,103.9299975,1.326357, 204 Bedok North Street 1 01-393 
560,FISH & CO RESTAURANTS PTE LTD,83,Punggol Central,B1-18,WATERWAY POINT (EAST WING),828761,103.9018000589,1.4057800345,83 Punggol Central B1-18 WATERWAY POINT (EAST WING)
561,FISH & CO RESTAURANTS PTE LTD,3,GATEWAY DRIVE,01-03,WESTGATE MALL,608532,103.742658,1.334133,3 GATEWAY DRIVE 01-03 WESTGATE MALL
562,FISH & CO RESTAURANTS PTE LTD,1,HARBOURFRONT WALK,0 2-116,VIVO CITY,098585,103.822398,1.264383,1 HARBOURFRONT WALK 0 2-116 VIVO CITY
563,FISH & CO RESTAURANTS PTE LTD,290,ORCHARD ROAD,B 1-35/36,"PARAGON, THE",238859,103.835988,1.3040370000000001,"290 ORCHARD ROAD B 1-35/36 PARAGON, THE"
564,FISH & CO RESTAURANTS PTE LTD,201,VICTORIA STREET,04-07,Bugis+,188067,103.8546405,1.2994919999999999,201 VICTORIA STREET 04-07 Bugis+
565,FISH & CO RESTAURANTS PTE LTD,1,JURONG WEST CENTRAL 2,02-20E,JURONG POINT,648886,103.7067075,1.339632,1 JURONG WEST CENTRAL 2 02-20E JURONG POINT
566,FISH & CO RESTAURANTS PTE LTD,238,THOMSON ROAD,03-11,NOVENA SQUARE,307683,103.8434,1.31968,238 THOMSON ROAD 03-11 NOVENA SQUARE
567,FISH & CO RESTAURANTS PTE LTD,252,NORTH BRIDGE ROAD,B  1--63/64,RAFFLES CITY SHOPPING CENTRE,179103,103.8529000084,1.2944899911,252 NORTH BRIDGE ROAD B  1--63/64 RAFFLES CITY SHOPPING CENTRE
568,FISH & CO RESTAURANTS PTE LTD,33,Sengkang West Avenue,03-22/K4/K5,SELETAR MALL,797653,103.876236,1.3914,33 Sengkang West Avenue 03-22/K4/K5 SELETAR MALL
569,FISH & CO RESTAURANTS PTE LTD,53,ANG MO KIO AVENUE 3,02-03,AMK HUB,569933,103.8484125,1.3691879999999998,53 ANG MO KIO AVENUE 3 02-03 AMK HUB
570,FISH & CO RESTAURANTS PTE LTD,311,NEW UPPER CHANGI ROAD,01-71/72,BEDOK MALL,467360,103.9292685,1.324773,311 NEW UPPER CHANGI ROAD 01-71/72 BEDOK MALL
571,FISH & CO RESTAURANTS PTE LTD,10,TAMPINES CENTRAL 1,04-11,TAMPINES ONE,529536,103.9450185,1.35432,10 TAMPINES CENTRAL 1 04-11 TAMPINES ONE
