,Name,Address1,Address2,Address3,Address4,Postal,lng,lat,full_address
59,A-POH KITCHEN PTE LTD,354,CLEMENTI AVENUE 2,01-223,CLEMENTI AVENUE 2 SHOPPING CENTRE,120354,103.7708595,1.313532,354 CLEMENTI AVENUE 2 01-223 CLEMENTI AVENUE 2 SHOPPING CENTRE
60,ARIFF'S RESTAURANT,71,KALLANG BAHRU,01-529B,,330071,103.8703905,1.320993,71 KALLANG BAHRU 01-529B 
61,ARIFF'S RESTAURANT,278,BUKIT BATOK EAST AVE 3,01-365,,650278,103.7577735,1.347849,278 BUKIT BATOK EAST AVE 3 01-365 
62,Arnold's Fried Chicken (S) Pte Ltd,21,HOUGANG STREET 51,01-49,HOUGANG GREEN SHOPPING MALL,538719,103.887846,1.379322,21 HOUGANG STREET 51 01-49 HOUGANG GREEN SHOPPING MALL
63,Arnold's Fried Chicken (S) Pte Ltd,60,JURONG WEST CENTRAL 3,01-05,The Frontier CC,648346,103.7045385,1.34055,60 JURONG WEST CENTRAL 3 01-05 The Frontier CC
64,Arnold's Fried Chicken (S) Pte Ltd,51,YISHUN CENTRAL 1,01-04,YISHUN 10 CINEMA CINEPLEX,768794,103.83656,1.4297300000000002,51 YISHUN CENTRAL 1 01-04 YISHUN 10 CINEMA CINEPLEX
65,Arnold's Fried Chicken (S) Pte Ltd,810,GEYLANG ROAD,0  2-99/101,CITY PLAZA,409286,103.8936285,1.314612,810 GEYLANG ROAD 0  2-99/101 CITY PLAZA
66,Arnold's Fried Chicken (S) Pte Ltd,215,BEDOK NORTH STREET 1,01-83,,460215,103.9334985,1.3260779999999999,215 BEDOK NORTH STREET 1 01-83 
67,AROMA KAMPUNG PTE LTD,2,JOO CHIAT ROAD,03-1111,JOO CHIAT COMPLEX,420002,103.898763,1.315539,2 JOO CHIAT ROAD 03-1111 JOO CHIAT COMPLEX
68,ArtBites TRCC,5,WOODLANDS AVENUE 9,01-01,REPUBLIC POLYTECHNIC,738962,103.7834055,1.444689,5 WOODLANDS AVENUE 9 01-01 REPUBLIC POLYTECHNIC
69,"ASAM TREE CAFE, BAKERY & RESTAURANT",712,ANG MO KIO AVENUE 6,01-4056,,560712,103.847085,1.371411,712 ANG MO KIO AVENUE 6 01-4056 
70,Asam Tree Malay Cuisine (S5) @ NTUC Foodfare KTPH,90,Yishun Central,01-12,Khoo Teck Puat Hospital,768828,103.83827,1.4238300000000002,90 Yishun Central 01-12 Khoo Teck Puat Hospital
71,ASAM TREE SNACK & NASI LEMAK,100,HOUGANG AVENUE 10,01-03,KANG KAR MALL,538767,103.8942495,1.371708,100 HOUGANG AVENUE 10 01-03 KANG KAR MALL
72,ASIAN COUNTER @ CAROUSEL,25,SCOTTS ROAD,,SCOTTSWALK,228220,103.8321045,1.307169,25 SCOTTS ROAD  SCOTTSWALK
73,ASIAN DELIGHT (S4) @ FLAVOURS BY HESED&EMET,21,Tampines Ave 1,01-00,Temasek Polytechnic (Blk 23A),529757,103.93268,1.34654,21 Tampines Ave 1 01-00 Temasek Polytechnic (Blk 23A)
74,ASIAN DELIGHTS @ AQUAMARINE,6,RAFFLES BOULEVARD,04,MARINA SQUARE,039594,103.8575385,1.291275,6 RAFFLES BOULEVARD 04 MARINA SQUARE
75,ASIAN FOOD CORNER @ AMC,2,STAMFORD ROAD,,FAIRMONT SINGAPORE & SWISSOTEL THE STAMFORD,178882,103.8532725,1.293291,2 STAMFORD ROAD  FAIRMONT SINGAPORE & SWISSOTEL THE STAMFORD
76,Australia Design Western Food (S2)@ Mr Teh Tarik Geylang Serai,1,GEYLANG SERAI,01-210,,402001,103.8982275,1.316736,1 GEYLANG SERAI 01-210 
77,Awal Western and Thai Steamboat (S1) @ Awal Makan Place,60,PASIR RIS DRIVE 3,01,ARANDA COUNTRY CLUB,519497,103.9534425,1.375704,60 PASIR RIS DRIVE 3 01 ARANDA COUNTRY CLUB
78,Ayam Bakar Ojolali,304,ORCHARD ROAD,03-39,LUCKY PLAZA,238863,103.8337245,1.304307,304 ORCHARD ROAD 03-39 LUCKY PLAZA
79,Ayam Bakar Ojolali,304,ORCHARD ROAD,03-43,LUCKY PLAZA,238863,103.8337245,1.304307,304 ORCHARD ROAD 03-43 LUCKY PLAZA
80,AYAM PENYET,676,WOODLANDS DRIVE 71,02,KAMPUNG ADMIRALTY HAWKER CENTRE,730676,103.8007215,1.439748,676 WOODLANDS DRIVE 71 02 KAMPUNG ADMIRALTY HAWKER CENTRE
82,AYAM PENYET (S5) @ FORK AND SPOON WOODLANDS MART,768,WOODLANDS AVENUE 6,01,WOODLANDS MART,730768,103.7981295,1.4456609999999999,768 WOODLANDS AVENUE 6 01 WOODLANDS MART
83,Ayam Penyet (S6) @ Mr Teh Tarik Eating House,204,BEDOK NORTH STREET 1,01-435,,460204,103.9299975,1.326357,204 BEDOK NORTH STREET 1 01-435 
85,AYAM PENYET PRESIDENT,304,ORCHARD ROAD,0 3-36/37,LUCKY PLAZA,238863,103.8337245,1.304307,304 ORCHARD ROAD 0 3-36/37 LUCKY PLAZA
86,AYAM PENYET PRESIDENT,2,JURONG EAST CENTRAL 1,01-05,JCUBE,609731,103.7401785,1.333269,2 JURONG EAST CENTRAL 1 01-05 JCUBE
87,AYAM PENYET PRESIDENT,1,Stadium Place,01-23,,397628,103.873149,1.303074,1 Stadium Place 01-23 
88,AYAM PENYET PRESIDENT,23,Serangoon Central 1,B1-13/14,,556083,103.872294,1.350765,23 Serangoon Central 1 B1-13/14 
89,AYAM PENYET PRESIDENT,2,TAMPINES CENTRAL 5,B1-20,CENTURY SQUARE,529509,103.9437855,1.352358,2 TAMPINES CENTRAL 5 B1-20 CENTURY SQUARE
90,AYAM PENYET PRESIDENT,930,YISHUN AVENUE 2,B1-54,NORTHPOINT,769098,103.835979,1.429344,930 YISHUN AVENUE 2 B1-54 NORTHPOINT
91,AYAM PENYET UNCLE PENYET,728,ANG MO KIO AVENUE 6,01-4200,,560728,103.845681,1.372626,728 ANG MO KIO AVENUE 6 01-4200 
92,BABALICIOUS,1000,EAST COAST PARKWAY,01-02,MARINE COVE,449876,103.9133925,1.3016429999999999,1000 EAST COAST PARKWAY 01-02 MARINE COVE
93,Bagus,321,JOO CHIAT PLACE,01-10,PARKWAY EAST HOSPITAL,427990,103.909068,1.315116,321 JOO CHIAT PLACE 01-10 PARKWAY EAST HOSPITAL
94,Bagus,276 / 278,CHANGI ROAD,,,419756,103.90626,1.317582,276 / 278 CHANGI ROAD  
95,BAGUS CAFE @ RWS -RWS (Mngd by Compass Group),26,SENTOSA GATEWAY,B1-133,,098138,103.821111,1.2565439999999999,26 SENTOSA GATEWAY B1-133 
96,Baker's Heart,1,IRVING PLACE,02-04,The Commerze,369546,103.886433,1.336239,1 IRVING PLACE 02-04 The Commerze
97,Baker's Oven Pattisieries,2761,ANG MO KIO AVENUE 5,,SPC PETROL KIOSK,569866,103.8360400294,1.3788300622,2761 ANG MO KIO AVENUE 5  SPC PETROL KIOSK
98,Baker's Oven Pattisieries,91,Sengkang East Way,,SPC Petrol Station,544885,103.8989900255,1.3911899634,91 Sengkang East Way  SPC Petrol Station
99,Bakers World,15-8,JALAN RIANG,,SERANGOON PARK,358987,103.8677985,1.347219,15-8 JALAN RIANG  SERANGOON PARK
100,BAKERY STALL (S3) @ DIGNITY KITCHEN,267,SERANGOON AVENUE 3,,,550267,103.870953,1.353168,267 SERANGOON AVENUE 3  
101,Bali Thai Restaurant,391A,ORCHARD ROAD,05-29,NGEE ANN CITY TOWER A,238873,103.83425,1.30245,391A ORCHARD ROAD 05-29 NGEE ANN CITY TOWER A
102,Bali Thai Restaurant,1,WOODLANDS SQUARE,05-05,CAUSEWAY POINT,738099,103.785984,1.435878,1 WOODLANDS SQUARE 05-05 CAUSEWAY POINT
103,Bali Thai Restaurant,23,Serangoon Central,02-13,Nex,556083,103.872294,1.350765,23 Serangoon Central 02-13 Nex
104,Bali Thai Restaurant,33,Sengkang West Ave,02-01/02,The Seletar Mall,797653,103.876236,1.3914,33 Sengkang West Ave 02-01/02 The Seletar Mall
105,Bali Thai Restaurant,3,TEMASEK BOULEVARD,B1-121,SUNTEC CITY MALL,038983,103.859307,1.295001,3 TEMASEK BOULEVARD B1-121 SUNTEC CITY MALL
106,Bali Thai Restaurant,2,JURONG EAST STREET 21,01-21,IMM BUILDING,609601,103.7464605,1.334988,2 JURONG EAST STREET 21 01-21 IMM BUILDING
107,Bali Thai Restaurant,83,Punggol Central,B1-13,Waterway Point (East Wing),878761,103.9018000589,1.4057800345,83 Punggol Central B1-13 Waterway Point (East Wing)
108,Bali Thai Restaurant,26,Sentosa Gateway,B1-221,The Forum @ Resorts World Sentosa,098138,103.821111,1.2565439999999999,26 Sentosa Gateway B1-221 The Forum @ Resorts World Sentosa
109,BAN MIAN & FISH SOUP (S1) @ The Short Circuit Temasek Polytechnic,21,TAMPINES AVENUE 1,,"Temasek Polytechnic, School of Engineering",529757,103.93268,1.34654,"21 TAMPINES AVENUE 1  Temasek Polytechnic, School of Engineering"
110,Ban Mian & Fish Soup (S8) @ Cook House By Koufu,1,Pasir Ris Central St 3,03-01/02,WHITE SANDS,518457,103.9496355,1.372365,1 Pasir Ris Central St 3 03-01/02 WHITE SANDS
111,Ban Mian (S12) @ Matrix Cafeteria ITE College West,1,Choa Chu Kang Grove,02-01,BLK 3 ITE COLLEGE WEST,688236,103.7515005,1.374309,1 Choa Chu Kang Grove 02-01 BLK 3 ITE COLLEGE WEST
112,Ban Mian (S2) @ Fork & Spoon Toa Payoh,470,LORONG 6 TOA PAYOH,02-70,HDB HUB,310470,103.8493395,1.332036,470 LORONG 6 TOA PAYOH 02-70 HDB HUB
113,Ban Mian (S6) @ Cantine Jurong Point,1,JURONG WEST CENTRAL 2,B   1 -42/43/44,JURONG POINT,648886,103.7067075,1.339632,1 JURONG WEST CENTRAL 2 B   1 -42/43/44 JURONG POINT
114,Ban Mian (S6) @ Kopitiam Singapore Post,10,EUNOS ROAD 8,03-104,SINGAPORE POST CENTRE,408600,103.894506,1.318959,10 EUNOS ROAD 8 03-104 SINGAPORE POST CENTRE
115,Ban Mian (S7) @ Kopitiam Vivo City,1,HARBOURFRONT WALK,B2-39,VIVO CITY,098585,103.822398,1.264383,1 HARBOURFRONT WALK B2-39 VIVO CITY
116,Ban Mian Congee (S8) @ Cantine Paya Lebar Square,60,Paya Lebar Road,B1-51,Paya Lebar Square,409051,103.89258,1.3188149999999998,60 Paya Lebar Road B1-51 Paya Lebar Square
117,Ban Mian Fish Soup (S9) @ KouFu,10,SINARAN DRIVE,04-14,SQUARE 2,307506,103.8442275,1.320687,10 SINARAN DRIVE 04-14 SQUARE 2
118,Ban Mian/Fish Soup (S3)@Fork & Spoon Woodlands Mart,768,WOODLANDS AVENUE 6,,WOODLANDS MART,730768,103.7981295,1.4456609999999999,768 WOODLANDS AVENUE 6  WOODLANDS MART
119,Banana Leaf Curry (S4) @ Kopitiam,65,"AIRPORT BOULEVARD, CHANGI AIRPORT TERMINAL 3",B2-03,BASEMENT LEVEL 2 SOUTH,819663,103.9851675,1.354374,"65 AIRPORT BOULEVARD, CHANGI AIRPORT TERMINAL 3 B2-03 BASEMENT LEVEL 2 SOUTH"
121,BAR-B-Q TONIGHT,10,ROBERTS LANE,,,218289,103.853889,1.310544,10 ROBERTS LANE  
122,BBQ Wholesale Centre Pte Ltd,81,FRANKEL AVENUE,,FRANKEL ESTATE,458209,103.9191345,1.315251,81 FRANKEL AVENUE  FRANKEL ESTATE
123,BEBEK GORENG PAK NDUT,304,ORCHARD ROAD,0  1  -42/43/44,LUCKY PLAZA,238863,103.8337245,1.304307,304 ORCHARD ROAD 0  1  -42/43/44 LUCKY PLAZA
124,BEBEK GORENG PAK NDUT,10,TAMPINES CENTRAL 1,01-58,TAMPINES ONE,529536,103.9450185,1.35432,10 TAMPINES CENTRAL 1 01-58 TAMPINES ONE
